x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,33.27941417,9.58084191,25.94367064,9.58084191,22.44427853,15.60120042,25.94367064,15.60120042,25.16916011
0.46282998,-0.20737004,0.24566001,0.50540307,-0.49933301,0.49576299,0.49945304,299.94757904,0.08332101,0.03828394,0.08332101,299.87359370,0.00532533,0.03828394,0.00532533,299.91848400,33.27908822,9.57797095,25.93350398,9.57797095,22.43292257,15.59438079,25.93350398,15.59438079,25.14761489
0.46282994,-0.20737015,0.24566002,0.50540310,-0.49933299,0.49576295,0.49945308,299.89517262,0.16665018,0.07655043,0.16665018,299.74719346,0.01064421,0.07655043,0.01064421,299.83696755,33.27876295,9.57509494,25.92332285,9.57509494,22.42155087,15.58755180,25.92332285,15.58755180,25.12605662
0.46282985,-0.20737033,0.24566005,0.50540315,-0.49933294,0.49576288,0.49945314,299.84278077,0.24998751,0.11479945,0.24998751,299.62079931,0.01595664,0.11479945,0.01595664,299.75545063,33.27843834,9.57221388,25.91312726,9.57221388,22.41016343,15.58071346,25.91312726,15.58071346,25.10448538
0.46282974,-0.20737058,0.24566009,0.50540322,-0.49933288,0.49576278,0.49945323,299.79040352,0.33333300,0.15303097,0.33333300,299.49441130,0.02126261,0.15303097,0.02126261,299.67393324,33.27811442,9.56932776,25.90291719,9.56932776,22.39876025,15.57386576,25.90291719,15.57386576,25.08290125
0.46282959,-0.20737090,0.24566013,0.50540331,-0.49933280,0.49576265,0.49945334,299.73804090,0.41668663,0.19124494,0.41668663,299.36802944,0.02656212,0.19124494,0.02656212,299.59241539,33.27779118,9.56643657,25.89269266,9.56643657,22.38734133,15.56700871,25.89269266,15.56700871,25.06130431
0.46282942,-0.20737128,0.24566019,0.50540342,-0.49933270,0.49576250,0.49945348,299.68569294,0.50004840,0.22944134,0.50004840,299.24165377,0.03185518,0.22944134,0.03185518,299.51089707,33.27746863,9.56354031,25.88245366,9.56354031,22.37590668,15.56014231,25.88245366,15.56014231,25.03969464
0.46282920,-0.20737174,0.24566026,0.50540355,-0.49933258,0.49576232,0.49945365,299.63335966,0.58341831,0.26762014,0.58341831,299.11528432,0.03714178,0.26762014,0.03714178,299.42937829,33.27714678,9.56063898,25.87220020,9.56063898,22.36445630,15.55326656,25.87220020,15.55326656,25.01807231
0.46282896,-0.20737226,0.24566034,0.50540370,-0.49933244,0.49576211,0.49945384,299.58104109,0.66679635,0.30578130,0.66679635,298.98892113,0.04242192,0.30578130,0.04242192,299.34785903,33.27682564,9.55773257,25.86193227,9.55773257,22.35299018,15.54638146,25.86193227,15.54638146,24.99643742
0.46282868,-0.20737285,0.24566043,0.50540387,-0.49933229,0.49576188,0.49945406,299.52873725,0.75018251,0.34392480,0.75018251,298.86256421,0.04769560,0.34392480,0.04769560,299.26633930,33.27650521,9.55482107,25.85164988,9.55482107,22.34150834,15.53948702,25.85164988,15.53948702,24.97479004
0.46282837,-0.20737350,0.24566053,0.50540406,-0.49933212,0.49576162,0.49945430,299.47644819,0.83357678,0.38205060,0.83357678,298.73621360,0.05296281,0.38205060,0.05296281,299.18481910,33.27618550,9.55190448,25.84135303,9.55190448,22.33001076,15.53258323,25.84135303,15.53258323,24.95313025
0.46282803,-0.20737422,0.24566064,0.50540426,-0.49933193,0.49576133,0.49945456,299.42417392,0.91697917,0.42015867,0.91697917,298.60986933,0.05822357,0.42015867,0.05822357,299.10329842,33.27586652,9.54898279,25.83104171,9.54898279,22.31849746,15.52567010,25.83104171,15.52567010,24.93145814
0.46282766,-0.20737499,0.24566076,0.50540449,-0.49933172,0.49576101,0.49945485,299.37191447,1.00038966,0.45824897,1.00038966,298.48353144,0.06347786,0.45824897,0.06347786,299.02177727,33.27554827,9.54605600,25.82071594,9.54605600,22.30696844,15.51874764,25.82071594,15.51874764,24.90977378
0.46282725,-0.20737583,0.24566089,0.50540474,-0.49933149,0.49576067,0.49945517,299.31966987,1.08380825,0.49632148,1.08380825,298.35719995,0.06872568,0.49632148,0.06872568,298.94025564,33.27523076,9.54312410,25.81037571,9.54312410,22.29542369,15.51181583,25.81037571,15.51181583,24.88807727
0.46282681,-0.20737674,0.24566103,0.50540500,-0.49933125,0.49576030,0.49945551,299.26744014,1.16723493,0.53437617,1.16723493,298.23087489,0.07396704,0.53437617,0.07396704,298.85873352,33.27491400,9.54018708,25.80002103,9.54018708,22.28386323,15.50487469,25.80002103,15.50487469,24.86636867
0.46282634,-0.20737770,0.24566119,0.50540529,-0.49933099,0.49575991,0.49945587,299.21522533,1.25066969,0.57241300,1.25066969,298.10455630,0.07920193,0.57241300,0.07920193,298.77721093,33.27459799,9.53724495,25.78965189,9.53724495,22.27228704,15.49792421,25.78965189,15.49792421,24.84464809
0.46282583,-0.20737872,0.24566135,0.50540559,-0.49933072,0.49575948,0.49945626,299.16302544,1.33411253,0.61043193,1.33411253,297.97824421,0.08443035,0.61043193,0.08443035,298.69568785,33.27428275,9.53429769,25.77926830,9.53429769,22.26069515,15.49096440,25.77926830,15.49096440,24.82291559
0.46282529,-0.20737979,0.24566152,0.50540591,-0.49933042,0.49575903,0.49945668,299.11084052,1.41756345,0.64843295,1.41756345,297.85193864,0.08965230,0.64843295,0.08965230,298.61416428,33.27396827,9.53134531,25.76887027,9.53134531,22.24908754,15.48399527,25.76887027,15.48399527,24.80117127
0.46282472,-0.20738093,0.24566171,0.50540626,-0.49933011,0.49575856,0.49945711,299.05867058,1.50102243,0.68641601,1.50102243,297.72563963,0.09486778,0.68641601,0.09486778,298.53264023,33.27365458,9.52838779,25.75845778,9.52838779,22.23746422,15.47701680,25.75845778,15.47701680,24.77941521
0.46282411,-0.20738212,0.24566190,0.50540662,-0.49932978,0.49575806,0.49945758,299.00651566,1.58448947,0.72438109,1.58448947,297.59934721,0.10007680,0.72438109,0.10007680,298.45111569,33.27334166,9.52542513,25.74803085,9.52542513,22.22582520,15.47002902,25.74803085,15.47002902,24.75764749
0.46282347,-0.20738337,0.24566210,0.50540700,-0.49932943,0.49575753,0.49945806,298.95437578,1.66796457,0.76232815,1.66796457,297.47306141,0.10527934,0.76232815,0.10527934,298.36959065,33.27302953,9.52245732,25.73758948,9.52245732,22.21417047,15.46303191,25.73758948,15.46303191,24.73586819
