x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.34194014,0.75643549,0.24582092,0.50898082,-0.49227195,0.49740611,0.50119258,178.68743501,43.28181077,-30.38300650,43.28181077,83.42547366,-35.46497378,-30.38300650,-35.46497378,34.60765045,8.85147945,17.30764413,3.88281628,17.30764413,45.85853868,16.98819941,3.88281628,16.98819941,15.19495264
0.34186444,0.75668332,0.24581942,0.50897552,-0.49226674,0.49741377,0.50119549,178.68228306,43.27855876,-30.37978239,43.27855876,83.42599775,-35.45514317,-30.37978239,-35.45514317,34.58555333,8.85463358,17.27569806,3.87644741,17.27569806,45.81427465,17.02028960,3.87644741,17.02028960,15.17478499
0.34178907,0.75693038,0.24581792,0.50897021,-0.49226153,0.49742145,0.50119838,178.67704555,43.27536616,-30.37660892,43.27536616,83.42651598,-35.44527753,-30.37660892,-35.44527753,34.56345312,8.85744233,17.24325593,3.87010716,17.24325593,45.76979193,17.05236572,3.87010716,17.05236572,15.15423728
0.34171404,0.75717665,0.24581641,0.50896491,-0.49225633,0.49742913,0.50120124,178.67172209,43.27223348,-30.37348661,43.27223348,83.42702825,-35.43537679,-30.37348661,-35.43537679,34.54135005,8.85990618,17.21032077,3.86379584,17.21032077,45.72509270,17.08442288,3.86379584,17.08442288,15.13331186
0.34163934,0.75742213,0.24581488,0.50895961,-0.49225114,0.49743682,0.50120409,178.66631232,43.26916125,-30.37041594,43.26916125,83.42753443,-35.42544090,-30.37041594,-35.42544090,34.51924432,8.86202562,17.17689561,3.85751374,17.17689561,45.68017926,17.11645626,3.85751374,17.11645626,15.11201119
0.34156497,0.75766684,0.24581335,0.50895431,-0.49224596,0.49744452,0.50120692,178.66081585,43.26615002,-30.36739741,43.26615002,83.42803439,-35.41546979,-30.36739741,-35.41546979,34.49713616,8.86380122,17.14298357,3.85126114,17.14298357,45.63505394,17.14846106,3.85126114,17.14846106,15.09033784
0.34149093,0.75791078,0.24581181,0.50894901,-0.49224080,0.49745223,0.50120972,178.65523231,43.26320031,-30.36443153,43.26320031,83.42852798,-35.40546341,-30.36443153,-35.40546341,34.47502576,8.86523356,17.10858778,3.84503831,17.10858778,45.58971915,17.18043252,3.84503831,17.18043252,15.06829453
0.34141722,0.75815394,0.24581026,0.50894371,-0.49223564,0.49745995,0.50121251,178.64956132,43.26031266,-30.36151879,43.26031266,83.42901505,-35.39542169,-30.36151879,-35.39542169,34.45291333,8.86632328,17.07371143,3.83884549,17.07371143,45.54417741,17.21236594,3.83884549,17.21236594,15.04588407
0.34134384,0.75839632,0.24580870,0.50893842,-0.49223049,0.49746767,0.50121527,178.64380249,43.25748760,-30.35865968,43.25748760,83.42949544,-35.38534456,-30.35865968,-35.38534456,34.43079905,8.86707108,17.03835776,3.83268293,17.03835776,45.49843126,17.24425667,3.83268293,17.24425667,15.02310939
0.34127078,0.75863793,0.24580713,0.50893313,-0.49222535,0.49747541,0.50121801,178.63795545,43.25472566,-30.35585472,43.25472566,83.42996899,-35.37523196,-30.35585472,-35.37523196,34.40868311,8.86747766,17.00253006,3.82655085,17.00253006,45.45248336,17.27610007,3.82655085,17.27610007,14.99997354
0.34119805,0.75887878,0.24580555,0.50892784,-0.49222022,0.49748315,0.50122074,178.63201981,43.25202738,-30.35310440,43.25202738,83.43043551,-35.36508383,-30.35310440,-35.36508383,34.38656568,8.86754382,16.96623163,3.82044947,16.96623163,45.40633642,17.30789158,3.82044947,17.30789158,14.97647969
0.34112565,0.75911885,0.24580396,0.50892255,-0.49221510,0.49749090,0.50122344,178.62599517,43.24939329,-30.35040923,43.24939329,83.43089483,-35.35490009,-30.35040923,-35.35490009,34.36444695,8.86727035,16.92946584,3.81437897,16.92946584,45.35999322,17.33962667,3.81437897,17.33962667,14.95263110
0.34105356,0.75935816,0.24580237,0.50891726,-0.49220999,0.49749866,0.50122612,178.61988115,43.24682392,-30.34776970,43.24682392,83.43134675,-35.34468068,-30.34776970,-35.34468068,34.34232707,8.86665811,16.89223611,3.80833955,16.89223611,45.31345660,17.37130086,3.80833955,17.37130086,14.92843116
0.34098180,0.75959671,0.24580076,0.50891198,-0.49220490,0.49750643,0.50122878,178.61367735,43.24431981,-30.34518632,43.24431981,83.43179106,-35.33442554,-30.34518632,-35.33442554,34.32020620,8.86570800,16.85454588,3.80233139,16.85454588,45.26672951,17.40290970,3.80233139,17.40290970,14.90388338
0.34091036,0.75983449,0.24579915,0.50890670,-0.49219981,0.49751421,0.50123141,178.60738338,43.24188149,-30.34265959,43.24188149,83.43222755,-35.32413458,-30.34265959,-35.32413458,34.29808449,8.86442096,16.81639865,3.79635463,16.81639865,45.21981493,17.43444880,3.79635463,17.43444880,14.87899137
0.34083924,0.76007151,0.24579752,0.50890142,-0.49219473,0.49752200,0.50123403,178.60099885,43.23950950,-30.34019002,43.23950950,83.43265600,-35.31380775,-30.34019002,-35.31380775,34.27596209,8.86279798,16.77779794,3.79040944,16.77779794,45.17271593,17.46591382,3.79040944,17.46591382,14.85375884
0.34076844,0.76030777,0.24579589,0.50889614,-0.49218966,0.49752980,0.50123662,178.59452335,43.23720436,-30.33777811,43.23720436,83.43307618,-35.30344496,-30.33777811,-35.30344496,34.25383913,8.86084007,16.73874735,3.78449594,16.73874735,45.12543563,17.49730045,3.78449594,17.49730045,14.82818961
0.34069795,0.76054327,0.24579425,0.50889086,-0.49218461,0.49753760,0.50123920,178.58795648,43.23496663,-30.33542437,43.23496663,83.43348785,-35.29304614,-30.33542437,-35.29304614,34.23171574,8.85854830,16.69925047,3.77861427,16.69925047,45.07797725,17.52860444,3.77861427,17.52860444,14.80228762
0.34062779,0.76077801,0.24579261,0.50888559,-0.49217956,0.49754542,0.50124175,178.58129785,43.23279682,-30.33312930,43.23279682,83.43389077,-35.28261122,-30.33312930,-35.28261122,34.20959205,8.85592378,16.65931097,3.77276452,16.65931097,45.03034404,17.55982156,3.77276452,17.55982156,14.77605691
0.34055794,0.76101200,0.24579095,0.50888032,-0.49217452,0.49755324,0.50124428,178.57454704,43.23069548,-30.33089341,43.23069548,83.43428467,-35.27214012,-30.33089341,-35.27214012,34.18746817,8.85296765,16.61893255,3.76694680,16.61893255,44.98253934,17.59094766,3.76694680,17.59094766,14.74950162
0.34048840,0.76124524,0.24578929,0.50887505,-0.49216950,0.49756108,0.50124679,178.56770366,43.22866313,-30.32871721,43.22866313,83.43466929,-35.26163275,-30.32871721,-35.26163275,34.16534421,8.84968110,16.57811894,3.76116119,16.57811894,44.93456655,17.62197861,3.76116119,17.62197861,14.72262599
0.34041917,0.76147772,0.24578761,0.50886979,-0.49216448,0.49756892,0.50124927,178.56076729,43.22670032,-30.32660119,43.22670032,83.43504436,-35.25108905,-30.32660119,-35.25108905,34.14322026,8.84606535,16.53687391,3.75540777,16.53687391,44.88642913,17.65291034,3.75540777,17.65291034,14.69543438
0.34035026,0.76170945,0.24578594,0.50886453,-0.49215948,0.49757677,0.50125173,178.55373753,43.22480758,-30.32454587,43.22480758,83.43540958,-35.24050893,-30.32454587,-35.24050893,34.12109643,8.84212168,16.49520128,3.74968661,16.49520128,44.83813061,17.68373882,3.74968661,17.68373882,14.66793121
0.34028166,0.76194044,0.24578425,0.50885927,-0.49215449,0.49758463,0.50125418,178.54661396,43.22298544,-30.32255177,43.22298544,83.43576467,-35.22989229,-30.32255177,-35.22989229,34.09897280,8.83785138,16.45310489,3.74399775,16.45310489,44.78967458,17.71446007,3.74399775,17.71446007,14.64012105
0.34021337,0.76217067,0.24578255,0.50885401,-0.49214951,0.49759249,0.50125659,178.53939617,43.22123443,-30.32061937,43.22123443,83.43610932,-35.21923907,-30.32061937,-35.21923907,34.07684944,8.83325581,16.41058865,3.73834123,16.41058865,44.74106469,17.74507014,3.73834123,17.74507014,14.61200854
0.34014539,0.76240016,0.24578085,0.50884875,-0.49214453,0.49760037,0.50125899,178.53208376,43.21955510,-30.31874920,43.21955510,83.43644321,-35.20854916,-30.31874920,-35.20854916,34.05472643,8.82833634,16.36765646,3.73271708,16.36765646,44.69230465,17.77556515,3.73271708,17.77556515,14.58359840
0.34007772,0.76262891,0.24577914,0.50884350,-0.49213957,0.49760826,0.50126136,178.52467629,43.21794797,-30.31694175,43.21794797,83.43676604,-35.19782249,-30.31694175,-35.19782249,34.03260384,8.82309439,16.32431230,3.72712532,16.32431230,44.64339825,17.80594126,3.72712532,17.80594126,14.55489548
0.34001035,0.76285691,0.24577743,0.50883825,-0.49213462,0.49761615,0.50126372,178.51717336,43.21641358,-30.31519755,43.21641358,83.43707747,-35.18705895,-30.31519755,-35.18705895,34.01048171,8.81753143,16.28056016,3.72156595,16.28056016,44.59434931,17.83619466,3.72156595,17.83619466,14.52590470
0.33994329,0.76308417,0.24577571,0.50883300,-0.49212968,0.49762405,0.50126604,178.50957455,43.21495246,-30.31351710,43.21495246,83.43737715,-35.17625846,-30.31351710,-35.17625846,33.98836010,8.81164895,16.23640407,3.71603896,16.23640407,44.54516173,17.86632160,3.71603896,17.86632160,14.49663109
0.33987654,0.76331069,0.24577398,0.50882776,-0.49212476,0.49763197,0.50126835,178.50187943,43.21356514,-30.31190090,43.21356514,83.43766474,-35.16542092,-30.31190090,-35.16542092,33.96623905,8.80544848,16.19184810,3.71054434,16.19184810,44.49583945,17.89631838,3.71054434,17.89631838,14.46707974
0.33981009,0.76353647,0.24577224,0.50882252,-0.49211984,0.49763989,0.50127063,178.49408759,43.21225216,-30.31034947,43.21225216,83.43793987,-35.15454624,-30.31034947,-35.15454624,33.94411859,8.79893160,16.14689636,3.70508207,16.14689636,44.44638648,17.92618134,3.70508207,17.92618134,14.43725585
0.33974394,0.76376151,0.24577050,0.50881728,-0.49211493,0.49764782,0.50127289,178.48619860,43.21101405,-30.30886332,43.21101405,83.43820219,-35.14363430,-30.30886332,-35.14363430,33.92199875,8.79209990,16.10155297,3.69965209,16.10155297,44.39680689,17.95590686,3.69965209,17.95590686,14.40716472
0.33967810,0.76398581,0.24576875,0.50881205,-0.49211004,0.49765576,0.50127513,178.47821203,43.20985135,-30.30744296,43.20985135,83.43845132,-35.13268502,-30.30744296,-35.13268502,33.89987954,8.78495503,16.05582211,3.69425437,16.05582211,44.34710479,17.98549138,3.69425437,17.98549138,14.37681170
0.33961255,0.76420938,0.24576700,0.50880681,-0.49210516,0.49766371,0.50127735,178.47012747,43.20876458,-30.30608889,43.20876458,83.43868686,-35.12169828,-30.30608889,-35.12169828,33.87776099,8.77749868,16.00970798,3.68888884,16.00970798,44.29728435,18.01493137,3.68888884,18.01493137,14.34620224
0.33954731,0.76443221,0.24576523,0.50880159,-0.49210028,0.49767166,0.50127954,178.46194449,43.20775428,-30.30480163,43.20775428,83.43890843,-35.11067399,-30.30480163,-35.11067399,33.85564308,8.76973254,15.96321481,3.68355543,15.96321481,44.24734980,18.04422337,3.68355543,18.04422337,14.31534189
0.33948237,0.76465431,0.24576347,0.50879636,-0.49209542,0.49767963,0.50128170,178.45366265,43.20682098,-30.30358168,43.20682098,83.43911562,-35.09961202,-30.30358168,-35.09961202,33.83352582,8.76165838,15.91634687,3.67825407,15.91634687,44.19730541,18.07336394,3.67825407,18.07336394,14.28423626
0.33941772,0.76487567,0.24576170,0.50879114,-0.49209057,0.49768760,0.50128385,178.44528154,43.20596522,-30.30242956,43.20596522,83.43930801,-35.08851228,-30.30242956,-35.08851228,33.81140920,8.75327796,15.86910845,3.67298465,15.86910845,44.14715550,18.10234971,3.67298465,18.10234971,14.25289104
0.33935337,0.76509631,0.24575992,0.50878592,-0.49208573,0.49769559,0.50128597,178.43680071,43.20518751,-30.30134577,43.20518751,83.43948519,-35.07737464,-30.30134577,-35.07737464,33.78929319,8.74459311,15.82150388,3.66774710,15.82150388,44.09690445,18.13117735,3.66774710,18.13117735,14.22131200
0.33928932,0.76531622,0.24575814,0.50878070,-0.49208091,0.49770358,0.50128807,178.42821974,43.20448839,-30.30033083,43.20448839,83.43964672,-35.06619900,-30.30033083,-35.06619900,33.76717777,8.73560567,15.77353751,3.66254128,15.77353751,44.04655668,18.15984355,3.66254128,18.15984355,14.18950498
0.33922557,0.76553539,0.24575635,0.50877549,-0.49207609,0.49771158,0.50129014,178.41953819,43.20386839,-30.29938525,43.20386839,83.43979215,-35.05498523,-30.29938525,-35.05498523,33.74506291,8.72631752,15.72521372,3.65736709,15.72521372,43.99611665,18.18834509,3.65736709,18.18834509,14.15747591
0.33916210,0.76575384,0.24575456,0.50877028,-0.49207129,0.49771959,0.50129219,178.41075565,43.20332805,-30.29850953,43.20332805,83.43992105,-35.04373320,-30.29850953,-35.04373320,33.72294856,8.71673059,15.67653694,3.65222439,15.67653694,43.94558889,18.21667877,3.65222439,18.21667877,14.12523077
0.33909893,0.76597156,0.24575276,0.50876507,-0.49206649,0.49772761,0.50129422,178.40187166,43.20286788,-30.29770419,43.20286788,83.44003295,-35.03244281,-30.29770419,-35.03244281,33.70083466,8.70684680,15.62751161,3.64711305,15.62751161,43.89497796,18.24484143,3.64711305,18.24484143,14.09277563
0.33903606,0.76618856,0.24575096,0.50875987,-0.49206171,0.49773564,0.50129622,178.39288579,43.20248842,-30.29696973,43.20248842,83.44012738,-35.02111392,-30.29696973,-35.02111392,33.67872118,8.69666815,15.57814218,3.64203293,15.57814218,43.84428844,18.27282999,3.64203293,18.27282999,14.06011660
0.33897347,0.76640483,0.24574915,0.50875467,-0.49205694,0.49774368,0.50129820,178.38379762,43.20219020,-30.29630666,43.20219020,83.44020387,-35.00974641,-30.29630666,-35.00974641,33.65660803,8.68619663,15.52843316,3.63698385,15.52843316,43.79352500,18.30064138,3.63698385,18.30064138,14.02725990
0.33891118,0.76662038,0.24574734,0.50874947,-0.49205218,0.49775172,0.50130016,178.37460670,43.20197374,-30.29571549,43.20197374,83.44026194,-34.99834014,-30.29571549,-34.99834014,33.63449515,8.67543430,15.47838906,3.63196567,15.47838906,43.74269231,18.32827259,3.63196567,18.32827259,13.99421176
0.33884917,0.76683520,0.24574553,0.50874428,-0.49204744,0.49775978,0.50130209,178.36531260,43.20183956,-30.29519673,43.20183956,83.44030107,-34.98689498,-30.29519673,-34.98689498,33.61238245,8.66438321,15.42801443,3.62697820,15.42801443,43.69179511,18.35572067,3.62697820,18.35572067,13.96097852
0.33878745,0.76704930,0.24574371,0.50873909,-0.49204270,0.49776784,0.50130399,178.35591488,43.20178820,-30.29475090,43.20178820,83.44032078,-34.97541079,-30.29475090,-34.97541079,33.59026986,8.65304546,15.37731385,3.62202127,15.37731385,43.64083815,18.38298269,3.62202127,18.38298269,13.92756655
0.33872602,0.76726269,0.24574189,0.50873391,-0.49203798,0.49777591,0.50130588,178.34641310,43.20182018,-30.29437849,43.20182018,83.44032056,-34.96388743,-30.29437849,-34.96388743,33.56815727,8.64142319,15.32629190,3.61709469,15.32629190,43.58982623,18.41005579,3.61709469,18.41005579,13.89398229
0.33866488,0.76747535,0.24574006,0.50872873,-0.49203326,0.49778399,0.50130774,178.33680683,43.20193602,-30.29408001,43.20193602,83.44029987,-34.95232476,-30.29408001,-34.95232476,33.54604458,8.62951854,15.27495321,3.61219825,15.27495321,43.53876420,18.43693714,3.61219825,18.43693714,13.86023224
0.33860402,0.76768729,0.24573824,0.50872355,-0.49202856,0.49779208,0.50130957,178.32709562,43.20213625,-30.29385598,43.20213625,83.44025819,-34.94072265,-30.29385598,-34.94072265,33.52393168,8.61733371,15.22330241,3.60733175,15.22330241,43.48765692,18.46362398,3.60733175,18.46362398,13.82632294
0.33854344,0.76789852,0.24573640,0.50871837,-0.49202387,0.49780018,0.50131138,178.31727904,43.20242139,-30.29370689,43.20242139,83.44019498,-34.92908093,-30.29370689,-34.92908093,33.50181846,8.60487090,15.17134417,3.60249498,15.17134417,43.43650931,18.49011356,3.60249498,18.49011356,13.79226101
0.33848315,0.76810903,0.24573457,0.50871320,-0.49201920,0.49780829,0.50131317,178.30735665,43.20279196,-30.29363326,43.20279196,83.44010970,-34.91739946,-30.29363326,-34.91739946,33.47970479,8.59213236,15.11908317,3.59768772,15.11908317,43.38532629,18.51640320,3.59768772,18.51640320,13.75805308
0.33842314,0.76831882,0.24573273,0.50870804,-0.49201453,0.49781640,0.50131493,178.29732801,43.20324848,-30.29363559,43.20324848,83.44000179,-34.90567809,-30.29363559,-34.90567809,33.45759054,8.57912035,15.06652412,3.59290973,15.06652412,43.33411284,18.54249027,3.59290973,18.54249027,13.72370587
0.33836341,0.76852790,0.24573089,0.50870288,-0.49200988,0.49782453,0.50131667,178.28719268,43.20379147,-30.29371438,43.20379147,83.43987069,-34.89391666,-30.29371438,-34.89391666,33.43547557,8.56583716,15.01367173,3.58816079,15.01367173,43.28287395,18.56837217,3.58816079,18.56837217,13.68922613
0.33830396,0.76873627,0.24572905,0.50869772,-0.49200524,0.49783266,0.50131838,178.27695021,43.20442145,-30.29387015,43.20442145,83.43971583,-34.88211501,-30.29387015,-34.88211501,33.41335973,8.55228512,14.96053076,3.58344064,14.96053076,43.23161465,18.59404636,3.58344064,18.59404636,13.65462063
0.33824478,0.76894392,0.24572721,0.50869256,-0.49200061,0.49784081,0.50132007,178.26660018,43.20513895,-30.29410339,43.20513895,83.43953662,-34.87027298,-30.29410339,-34.87027298,33.39124288,8.53846655,14.90710596,3.57874904,14.90710596,43.18033999,18.61951034,3.57874904,18.61951034,13.61989623
0.33818589,0.76915086,0.24572536,0.50868741,-0.49199599,0.49784896,0.50132173,178.25614213,43.20594447,-30.29441461,43.20594447,83.43933247,-34.85839041,-30.29441461,-34.85839041,33.36912484,8.52438384,14.85340212,3.57408574,14.85340212,43.12905504,18.64476165,3.57408574,18.64476165,13.58505980
0.33812727,0.76935709,0.24572352,0.50868226,-0.49199138,0.49785712,0.50132337,178.24557563,43.20683853,-30.29480431,43.20683853,83.43910280,-34.84646713,-30.29480431,-34.84646713,33.34700546,8.51003938,14.79942402,3.56945046,14.79942402,43.07776491,18.66979789,3.56945046,18.66979789,13.55011824
0.33806893,0.76956261,0.24572167,0.50867712,-0.49198679,0.49786529,0.50132499,178.23490025,43.20782165,-30.29527299,43.20782165,83.43884699,-34.83450297,-30.29527299,-34.83450297,33.32488455,8.49543557,14.74517649,3.56484294,14.74517649,43.02647473,18.69461669,3.56484294,18.69461669,13.51507851
0.33801086,0.76976742,0.24571982,0.50867198,-0.49198221,0.49787347,0.50132657,178.22411553,43.20889435,-30.29582115,43.20889435,83.43856444,-34.82249775,-30.29582115,-34.82249775,33.30276194,8.48057486,14.69066436,3.56026290,14.69066436,42.97518963,18.71921575,3.56026290,18.71921575,13.47994760
0.33795307,0.76997152,0.24571797,0.50866685,-0.49197764,0.49788165,0.50132814,178.21322104,43.21005713,-30.29644931,43.21005713,83.43825453,-34.81045130,-30.29644931,-34.81045130,33.28063745,8.46545971,14.63589246,3.55571006,14.63589246,42.92391478,18.74359278,3.55571006,18.74359278,13.44473251
