x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,4.71539432,-13.29386886,-0.79896917,-13.29386886,38.73994475,-0.26185962,-0.79896917,-0.26185962,8.27321941
0.46283002,-0.20736991,0.24565997,0.50540307,-0.49933302,0.49576300,0.49945302,299.99998438,0.00546844,-0.00783801,0.00546844,300.02758000,0.00048693,-0.00783801,0.00048693,300.02413036,4.70846122,-13.27130186,-0.79541430,-13.27130186,38.67534828,-0.28296287,-0.79541430,-0.28296287,8.26236762
0.46283007,-0.20736966,0.24565989,0.50540308,-0.49933301,0.49576301,0.49945302,299.99997083,0.01092965,-0.01567445,0.01092965,300.05517486,0.00097150,-0.01567445,0.00097150,300.04827013,4.70151772,-13.24870560,-0.79185620,-13.24870560,38.61072620,-0.30408020,-0.79185620,-0.30408020,8.25150465
0.46283015,-0.20736923,0.24565976,0.50540311,-0.49933299,0.49576301,0.49945300,299.99995935,0.01638363,-0.02350932,0.01638363,300.08278459,0.00145371,-0.02350932,0.00145371,300.07241931,4.69456384,-13.22608020,-0.78829487,-13.22608020,38.54607914,-0.32521144,-0.78829487,-0.32521144,8.24063055
0.46283026,-0.20736864,0.24565958,0.50540314,-0.49933296,0.49576302,0.49945299,299.99994997,0.02183037,-0.03134261,0.02183037,300.11040915,0.00193355,-0.03134261,0.00193355,300.09657790,4.68759960,-13.20342574,-0.78473035,-13.20342574,38.48140778,-0.34635641,-0.78473035,-0.34635641,8.22974539
0.46283041,-0.20736787,0.24565934,0.50540319,-0.49933292,0.49576303,0.49945297,299.99994268,0.02726985,-0.03917430,0.02726985,300.13804853,0.00241100,-0.03917430,0.00241100,300.12074589,4.68062501,-13.18074234,-0.78116267,-13.18074234,38.41671278,-0.36751494,-0.78116267,-0.36751494,8.21884924
0.46283059,-0.20736694,0.24565905,0.50540324,-0.49933288,0.49576305,0.49945294,299.99993749,0.03270205,-0.04700439,0.03270205,300.16570270,0.00288607,-0.04700439,0.00288607,300.14492327,4.67364012,-13.15803009,-0.77759184,-13.15803009,38.35199479,-0.38868686,-0.77759184,-0.38868686,8.20794217
0.46283080,-0.20736583,0.24565870,0.50540331,-0.49933282,0.49576307,0.49945291,299.99993442,0.03812697,-0.05483288,0.03812697,300.19337166,0.00335873,-0.05483288,0.00335873,300.16911004,4.66664493,-13.13528911,-0.77401790,-13.13528911,38.28725449,-0.40987199,-0.77401790,-0.40987199,8.19702425
0.46283105,-0.20736456,0.24565831,0.50540338,-0.49933276,0.49576308,0.49945288,299.99993347,0.04354460,-0.06265974,0.04354460,300.22105536,0.00382898,-0.06265974,0.00382898,300.19330619,4.65963947,-13.11251949,-0.77044087,-13.11251949,38.22249254,-0.43107016,-0.77044087,-0.43107016,8.18609555
0.46283133,-0.20736312,0.24565786,0.50540346,-0.49933269,0.49576311,0.49945284,299.99993465,0.04895491,-0.07048499,0.04895491,300.24875381,0.00429682,-0.07048499,0.00429682,300.21751171,4.65262377,-13.08972135,-0.76686078,-13.08972135,38.15770961,-0.45228118,-0.76686078,-0.45228118,8.17515613
0.46283164,-0.20736150,0.24565737,0.50540356,-0.49933262,0.49576313,0.49945280,299.99993796,0.05435791,-0.07830860,0.05435791,300.27646697,0.00476222,-0.07830860,0.00476222,300.24172660,4.64559784,-13.06689479,-0.76327765,-13.06689479,38.09290640,-0.47350487,-0.76327765,-0.47350487,8.16420607
0.46283198,-0.20735972,0.24565682,0.50540366,-0.49933253,0.49576316,0.49945276,299.99994342,0.05975358,-0.08613056,0.05975358,300.30419482,0.00522519,-0.08613056,0.00522519,300.26595085,4.63856172,-13.04403993,-0.75969151,-13.04403993,38.02808357,-0.49474107,-0.75969151,-0.49474107,8.15324544
0.46283236,-0.20735777,0.24565621,0.50540378,-0.49933244,0.49576318,0.49945271,299.99995104,0.06514190,-0.09395088,0.06514190,300.33193735,0.00568572,-0.09395088,0.00568572,300.29018445,4.63151542,-13.02115686,-0.75610239,-13.02115686,37.96324180,-0.51598958,-0.75610239,-0.51598958,8.14227430
0.46283276,-0.20735566,0.24565556,0.50540390,-0.49933234,0.49576321,0.49945265,299.99996082,0.07052286,-0.10176954,0.07052286,300.35969453,0.00614378,-0.10176954,0.00614378,300.31442740,4.62445898,-12.99824570,-0.75251031,-12.99824570,37.89838179,-0.53725024,-0.75251031,-0.53725024,8.13129274
