real_x,real_y,real_z
0.53645,-0.019265,0.28448
0.536449,-0.0192663,0.284478
0.536451,-0.0192648,0.284487
0.536451,-0.0192669,0.284488
0.536451,-0.0192649,0.284491
0.536452,-0.0192655,0.284495
0.536452,-0.0192656,0.284498
0.536451,-0.0192645,0.284499
0.536452,-0.0192655,0.284502
0.536453,-0.0192657,0.284509
0.536454,-0.019266,0.284513
0.536454,-0.0192639,0.284516
0.536455,-0.0192638,0.284519
0.536455,-0.0192625,0.284519
0.536456,-0.0192636,0.284527
0.536457,-0.0192578,0.284528
0.536458,-0.0192625,0.284532
0.536458,-0.0192617,0.284534
0.536458,-0.0192583,0.284538
0.536459,-0.0192558,0.28454
0.536458,-0.0192577,0.284542
0.53646,-0.0192552,0.284547
0.536459,-0.0192561,0.284549
0.536461,-0.0192523,0.284555
0.53646,-0.0192514,0.284556
0.536461,-0.01925,0.284558
0.536462,-0.0192451,0.284563
0.536461,-0.0192453,0.284565
0.536463,-0.0192418,0.28457
0.536462,-0.0192388,0.284571
0.536462,-0.0192378,0.284576
0.536463,-0.0192333,0.284579
0.536462,-0.0192342,0.284579
0.536463,-0.0192291,0.284582
0.536464,-0.0192246,0.284587
0.536464,-0.0192226,0.284589
0.536466,-0.0192211,0.284595
0.536465,-0.0192159,0.284595
0.536464,-0.0192147,0.284596
0.536465,-0.0192124,0.284599
0.536466,-0.0192083,0.284605
0.536468,-0.0192063,0.284609
0.536467,-0.0191997,0.284609
0.536465,-0.019198,0.284608
0.536466,-0.0191963,0.284612
0.536467,-0.0191925,0.284616
0.536467,-0.0191903,0.284618
0.536469,-0.0191871,0.284622
0.536468,-0.0191848,0.284622
0.536468,-0.0191802,0.284623
0.536469,-0.0191788,0.28463
0.536469,-0.0191786,0.284632
0.53647,-0.0191752,0.284637
0.536469,-0.0191735,0.284639
0.536468,-0.0191728,0.284637
0.536469,-0.019167,0.284644
0.536471,-0.0191657,0.284649
0.536471,-0.019166,0.284651
0.53647,-0.0191616,0.284654
0.53647,-0.0191583,0.284657
0.536473,-0.019157,0.284662
0.536473,-0.0191548,0.284665
0.536473,-0.0191546,0.28467
0.536474,-0.0191535,0.284673
0.536474,-0.0191478,0.284677
0.536475,-0.0191479,0.28468
0.536473,-0.0191403,0.284679
0.536475,-0.0191432,0.284685
0.536475,-0.0191387,0.284688
0.536477,-0.0191327,0.284692
0.536478,-0.0191326,0.284694
0.536477,-0.01913,0.284699
0.536476,-0.019127,0.284697
0.536477,-0.0191225,0.284703
0.536478,-0.0191188,0.284705
0.536479,-0.0191118,0.284711
0.53648,-0.0191112,0.284712
0.536479,-0.019108,0.284715
0.536481,-0.0191009,0.284719
0.536482,-0.0190988,0.284722
0.536482,-0.0190931,0.284726
0.536484,-0.01909,0.284731
0.536482,-0.0190863,0.284731
0.536482,-0.0190805,0.284735
0.536483,-0.019076,0.284737
0.536483,-0.0190702,0.284739
0.536485,-0.0190657,0.284746
0.536484,-0.0190608,0.284745
0.536482,-0.0190578,0.284748
0.536484,-0.0190529,0.284753
0.536484,-0.0190515,0.284756
0.536483,-0.0190437,0.284758
0.536484,-0.0190435,0.28476
0.536484,-0.0190381,0.284764
0.536483,-0.0190344,0.284763
0.536485,-0.0190311,0.284769
0.536487,-0.0190263,0.284775
0.536487,-0.0190218,0.284774
0.536486,-0.019021,0.284778
0.536486,-0.0190123,0.284778
0.536487,-0.0190108,0.284784
0.536487,-0.0190075,0.284786
0.536488,-0.0190044,0.284788
0.536488,-0.0189976,0.284789
0.536488,-0.0189955,0.284794
0.536488,-0.0189921,0.284794
0.53649,-0.0189882,0.2848
0.536492,-0.0189875,0.284804
0.536491,-0.018985,0.284805
0.536492,-0.018981,0.284808
0.536492,-0.0189764,0.284813
0.536491,-0.0189727,0.284813
0.536492,-0.0189655,0.284816
0.536492,-0.0189631,0.284818
0.53649,-0.0189598,0.28482
0.536494,-0.0189575,0.284825
0.536492,-0.0189509,0.284826
0.536493,-0.01895,0.28483
0.536493,-0.0189458,0.284833
0.536495,-0.0189399,0.284839
0.536495,-0.0189347,0.284841
0.536495,-0.0189334,0.284844
0.536497,-0.0189287,0.284848
0.536498,-0.018925,0.28485
0.536495,-0.0189204,0.284848
0.536496,-0.0189156,0.284853
0.536495,-0.0189095,0.284854
0.536497,-0.0189091,0.284861
0.536496,-0.0189047,0.284859
0.536498,-0.0189003,0.284865
0.536498,-0.0188981,0.284867
0.536496,-0.018891,0.284865
0.536498,-0.0188877,0.284871
0.536497,-0.0188837,0.284876
0.536498,-0.0188797,0.284879
0.5365,-0.0188714,0.284879
0.536498,-0.0188682,0.284879
0.536501,-0.0188672,0.284889
0.5365,-0.0188602,0.284889
0.5365,-0.0188544,0.28489
0.536501,-0.0188484,0.284893
0.536503,-0.0188441,0.2849
0.536502,-0.0188378,0.284899
0.536503,-0.0188365,0.284902
0.536504,-0.0188254,0.284905
0.536505,-0.018821,0.284911
0.536506,-0.0188166,0.284914
0.536505,-0.018813,0.284914
0.536505,-0.018805,0.284918
0.536506,-0.018796,0.284919
0.536507,-0.0187948,0.284923
0.536507,-0.0187869,0.284928
0.536507,-0.0187814,0.28493
0.536508,-0.018776,0.284932
0.536507,-0.0187685,0.284933
0.536507,-0.0187607,0.284938
0.536508,-0.0187574,0.284937
0.536511,-0.0187493,0.284944
0.536509,-0.0187436,0.284943
0.536511,-0.0187347,0.284948
0.53651,-0.0187288,0.28495
0.536511,-0.0187233,0.284955
0.536512,-0.0187159,0.284955
0.536511,-0.0187069,0.284958
0.536511,-0.0187007,0.284959
0.536513,-0.0186946,0.284964
0.536513,-0.0186918,0.284965
0.536513,-0.0186844,0.284966
0.536513,-0.0186749,0.284969
0.536514,-0.018668,0.284974
0.536514,-0.0186645,0.284973
0.536514,-0.0186567,0.284975
0.536514,-0.0186519,0.284977
0.536511,-0.0186465,0.284976
0.536512,-0.0186403,0.284979
0.536513,-0.0186315,0.284983
0.536514,-0.0186265,0.284984
0.536514,-0.0186212,0.284984
0.536514,-0.0186109,0.28499
0.536514,-0.0186055,0.284992
0.536514,-0.0185958,0.284992
0.536514,-0.0185947,0.284994
0.536516,-0.0185849,0.284998
0.536516,-0.0185803,0.285
0.536516,-0.018574,0.285003
0.536516,-0.0185671,0.285003
0.536518,-0.0185598,0.285009
0.536517,-0.0185544,0.285009
0.536519,-0.0185458,0.285014
0.536517,-0.0185374,0.285013
0.53652,-0.0185283,0.285018
0.536519,-0.0185238,0.28502
0.53652,-0.0185181,0.285022
0.536519,-0.0185111,0.285022
0.53652,-0.0185007,0.285025
0.536519,-0.0184919,0.285026
0.536523,-0.0184851,0.285033
0.536521,-0.0184764,0.285032
0.536522,-0.0184711,0.285034
0.536525,-0.01846,0.28504
0.536524,-0.0184535,0.285042
0.536525,-0.0184478,0.285046
0.536524,-0.0184385,0.285046
0.536524,-0.0184288,0.285048
0.536526,-0.018421,0.285053
0.536525,-0.0184106,0.28505
0.536526,-0.018406,0.285057
0.536525,-0.0183984,0.285056
0.536525,-0.0183877,0.285059
0.536526,-0.0183808,0.285061
0.536527,-0.0183717,0.285062
0.536527,-0.0183599,0.285064
0.536526,-0.0183537,0.285067
0.536526,-0.0183476,0.28507
0.536526,-0.0183391,0.285071
0.536526,-0.0183303,0.285072
0.536526,-0.0183195,0.285074
0.536527,-0.0183121,0.285077
0.536526,-0.0183039,0.285078
0.536526,-0.0182957,0.285082
0.536525,-0.0182856,0.285082
0.536526,-0.0182799,0.285082
0.536528,-0.0182689,0.285085
0.536526,-0.0182587,0.285084
0.536528,-0.0182501,0.285089
0.536528,-0.018245,0.285092
0.536529,-0.0182328,0.285095
0.536529,-0.0182244,0.285095
0.536528,-0.0182126,0.285096
0.536528,-0.0182081,0.285098
0.536528,-0.0181982,0.2851
0.536528,-0.0181894,0.285101
0.53653,-0.0181787,0.285108
0.53653,-0.0181691,0.285108
0.536531,-0.0181631,0.285111
0.53653,-0.0181516,0.28511
0.536529,-0.0181427,0.285113
0.536531,-0.0181352,0.285115
0.536531,-0.0181266,0.28512
0.536531,-0.018113,0.285118
0.536529,-0.0181039,0.285121
0.536529,-0.018096,0.285121
0.536528,-0.0180867,0.285122
0.536531,-0.0180753,0.285128
0.536529,-0.0180667,0.285127
0.53653,-0.018054,0.28513
0.53653,-0.0180446,0.285134
0.536529,-0.0180325,0.285132
0.536528,-0.0180243,0.285135
0.536528,-0.0180112,0.285138
0.536528,-0.0180014,0.285138
0.536529,-0.0179909,0.285141
0.536528,-0.0179804,0.285142
0.536527,-0.017969,0.285143
0.536527,-0.0179606,0.285146
0.536526,-0.0179475,0.285145
0.536524,-0.0179399,0.285144
0.536526,-0.0179261,0.285149
0.536526,-0.01792,0.285151
0.536525,-0.0179078,0.285153
0.536523,-0.0178989,0.285152
0.536523,-0.0178851,0.285156
0.536521,-0.0178771,0.285154
0.53652,-0.0178662,0.285156
0.536519,-0.0178551,0.285158
0.536521,-0.0178437,0.285164
0.536519,-0.0178308,0.285162
0.536519,-0.0178241,0.285163
0.536517,-0.0178102,0.285162
0.536518,-0.0177978,0.285168
0.536518,-0.0177879,0.285169
0.536518,-0.0177756,0.285171
0.536518,-0.0177641,0.28517
0.536517,-0.0177523,0.285174
0.536517,-0.0177372,0.285175
0.536517,-0.0177297,0.285178
0.536515,-0.0177155,0.285178
0.536517,-0.0177032,0.285183
0.536517,-0.0176906,0.285185
0.536517,-0.0176759,0.285186
0.536516,-0.0176669,0.285189
0.536517,-0.0176527,0.285191
0.536517,-0.0176409,0.285192
0.536515,-0.0176282,0.285193
0.536515,-0.0176152,0.285195
0.536513,-0.0176053,0.285192
0.536515,-0.0175915,0.285199
0.536516,-0.0175804,0.285202
0.536516,-0.0175676,0.285202
0.536513,-0.0175535,0.285201
0.536513,-0.0175368,0.285204
0.536514,-0.0175228,0.285205
0.536514,-0.01751,0.285209
0.536514,-0.0174986,0.285211
0.536513,-0.017484,0.28521
0.536514,-0.0174682,0.285214
0.536514,-0.0174525,0.285217
0.536512,-0.0174381,0.285215
0.536514,-0.017421,0.28522
0.536514,-0.0174096,0.285221
0.536512,-0.0173941,0.285221
